최저운고(m),기온(0.1c),이슬점온도(0.1c),해면기압 QFF (0.1hPa),현지기압 QFE (0.1hPa),강수량 (0.1mm),2분 평균풍속 (0.1m/s),2분 최대풍속 (0.1m/s),10분 평균풍향 (degree),10분 최우풍향: 평균풍향을 기준으로 시계방향으로 스캔하여 첫번째 값 (degree),10분 평균풍속 (0.1m/s),10분 최대풍속 (0.1m/s)
8.342839804,4.454347296,3.258096538,9.231318778,9.228278517,3.555348061,4.465908119,4.736198448,5.736572297,5.828945618,4.430816799,4.8978398
10.1266311,4.615120517,3.63758616,9.233763887,9.230731062,0,3.713572067,4.077537444,5.703782475,5.828945618,3.784189634,4.189654742
7.60090246,4.709530201,4.844187086,9.232395363,9.229358378,4.65396035,4.663439094,4.859812404,4.49980967,4.700480366,4.682131227,4.94875989
7.863266724,2.63905733,0,9.238830642,9.235618179,0.693147181,4.624972813,5.043425117,5.768320996,5.886104031,4.532599493,5.049856007
8.160518247,2.302585093,0,9.239219332,9.23610558,3.258096538,4.510859507,4.96284463,5.768320996,5.857933154,4.510859507,5.087596335
7.649692624,3.433987204,3.36729583,9.238150073,9.235032985,2.772588722,4.584967479,5.017279837,5.736572297,5.857933154,4.290459441,5.081404365
8.070906089,5.214935758,5.220355825,9.224341892,9.221478116,1.098612289,3.465735903,4.127134385,4.700480366,5.347107531,3.688879454,4.127134385
5.703782475,4.997212274,5.170483995,9.223552703,9.220587688,2.772588722,3.610917913,3.912023005,5.560681631,5.669880923,3.433987204,3.951243719
5.298317367,4.86753445,5.081404365,9.225327502,9.222367752,2.772588722,4.304065093,4.564348191,5.669880923,5.768320996,4.276666119,4.663439094
5.298317367,4.820281566,5.043425117,9.225524507,9.222565342,2.772588722,4.369447852,4.672828834,5.669880923,5.768320996,4.276666119,4.762173935
5.298317367,4.672828834,4.919980926,9.227000813,9.223947375,2.772588722,3.871201011,4.234106505,5.669880923,5.736572297,3.988984047,4.442651256
8.070906089,4.859812404,4.990432587,9.225918402,9.222960403,4.836281907,4.369447852,4.644390899,4.094344562,4.382026635,4.465908119,4.736198448
6.802394763,4.736198448,4.927253685,9.217117356,9.21413317,4.276666119,4.49980967,4.682131227,4.49980967,4.605170186,4.49980967,4.744932128
8.824677891,5.220355825,4.9698133,9.22177475,9.218903603,0,4.718498871,5.214935758,5.347107531,5.480638923,4.682131227,5.214935758
8.366370302,4.86753445,4.96284463,9.21880445,9.215825302,2.397895273,2.708050201,3.17805383,4.248495242,4.248495242,2.564949357,3.295836866
7.60090246,4.736198448,4.927253685,9.223947375,9.220884586,0,3.17805383,3.36729583,4.605170186,4.787491743,3.258096538,3.610917913
8.188689124,5.402677382,5.247024072,9.224046019,9.221181395,0,4.262679877,4.59511985,4.86753445,5.560681631,4.276666119,5.010635294
8.03915739,5.38907173,5.267858159,9.223848722,9.220983532,0,3.526360525,4.127134385,5.010635294,5.634789603,3.891820298,4.828313737
8.411832676,5.327876169,5.365976015,9.220884586,9.218010878,3.583518938,3.891820298,4.406719247,5.799092654,5.886104031,3.80666249,4.465908119
8.188689124,5.533389489,5.398162702,9.219993629,9.217216676,3.610917913,3.218875825,3.891820298,5.347107531,5.886104031,3.526360525,4.553876892
8.974618038,5.476463552,5.429345629,9.219597393,9.216719979,3.610917913,3.295836866,3.871201011,5.075173815,5.075173815,3.295836866,4.248495242
8.216088099,5.480638923,5.420534999,9.217812387,9.214929824,3.663561646,4.356708827,4.934473933,5.192956851,5.347107531,4.532599493,5.176149733
8.748304912,5.459585514,5.420534999,9.217812387,9.214929824,3.688879454,4.762173935,5.003946306,5.247024072,5.438079309,4.634728988,5.164785974
8.748304912,5.433722004,5.424950017,9.217514576,9.21473072,4.262679877,4.043051268,4.356708827,5.192956851,5.347107531,4.043051268,4.634728988
9.792555992,5.455321115,5.170483995,9.225031921,9.222268943,0,4.644390899,5.010635294,5.247024072,5.393627546,4.65396035,5.062595033
10.03451581,5.493061443,4.779123493,9.225819943,9.223059144,0,3.610917913,4.043051268,4.094344562,4.094344562,3.091042453,4.043051268
10.1266311,5.247024072,5.204006687,9.218705288,9.215825302,0,3.610917913,3.80666249,5.298317367,5.347107531,3.63758616,3.891820298
8.71604405,5.613128106,5.620400866,9.213734605,9.211040127,5.802118375,4.204692619,4.700480366,5.393627546,5.521460918,4.33073334,4.976733742
8.476371197,5.631211782,5.579729826,9.213236175,9.210440367,5.802118375,4.644390899,4.990432587,5.347107531,5.521460918,4.605170186,5.198497031
7.60090246,5.613128106,5.598421959,9.213435577,9.210740292,5.802118375,4.787491743,5.123963979,5.347107531,5.480638923,4.736198448,5.283203729
7.170119543,5.59471138,5.627621114,9.212537956,9.209740192,0,4.49980967,5.135798437,5.393627546,5.560681631,4.521788577,5.135798437
10.1266311,5.723585102,5.638354669,9.21473072,9.212038929,0,4.718498871,5.123963979,5.347107531,5.521460918,4.624972813,5.356586275
10.11859893,5.758901774,5.609471795,9.214531577,9.211839248,0,4.934473933,5.411646052,5.347107531,5.521460918,4.86753445,5.484796933
10.1266311,5.717027701,5.579729826,9.213834261,9.211040127,0,4.828313737,5.231108617,5.298317367,5.480638923,4.852030264,5.278114659
10.06900199,5.707110265,5.568344504,9.217514576,9.21473072,0,4.510859507,4.990432587,5.347107531,5.521460918,4.418840608,4.990432587
10.0301202,5.690359454,5.613128106,9.217911637,9.215128889,0,4.532599493,5.111987788,5.393627546,5.480638923,4.574710979,5.111987788
8.188689124,5.645446898,5.579729826,9.219201,9.216521231,1.098612289,4.33073334,4.727387819,5.393627546,5.560681631,4.143134726,4.727387819
7.863266724,5.66296048,5.609471795,9.219201,9.216521231,1.098612289,3.931825633,4.343805422,5.521460918,5.669880923,3.850147602,4.343805422
10.1266311,5.710427017,5.549076085,9.221675882,9.218903603,0,3.761200116,4.189654742,5.347107531,5.521460918,3.871201011,4.369447852
8.935903526,5.556828062,5.624017506,9.218110109,9.215327913,4.9698133,3.218875825,3.761200116,3.912023005,3.912023005,2.944438979,3.761200116
6.214608098,5.446737372,5.564520407,9.220092663,9.217315986,5.081404365,3.891820298,4.317488114,5.736572297,5.857933154,4.094344562,4.787491743
9.852194258,5.707110265,5.609471795,9.219696467,9.216918687,0.693147181,4.234106505,4.753590191,5.393627546,5.521460918,4.204692619,4.8978398
10.1266311,5.802118375,5.598421959,9.218903603,9.216223035,0.693147181,4.49980967,4.8978398,5.298317367,5.438079309,4.532599493,5.030437921
10.1266311,5.828945618,5.587248658,9.218407743,9.215725844,0,4.382026635,4.644390899,5.247024072,5.480638923,4.248495242,4.718498871
8.556413905,5.80814249,5.59471138,9.223651386,9.220983532,0,4.094344562,4.49980967,5.347107531,5.480638923,4.094344562,4.543294782
10.1266311,5.693732139,5.703782475,9.216421842,9.213734605,0,2.63905733,2.995732274,4.700480366,5.075173815,2.708050201,3.218875825
10.1266311,5.648974238,5.517452896,9.21473072,9.212038929,0,3.63758616,3.850147602,4.605170186,4.787491743,3.610917913,3.951243719
8.160518247,5.752572639,5.627621114,9.218506935,9.215825302,3.091042453,3.526360525,3.850147602,4.382026635,4.700480366,3.713572067,4.094344562
10.08163374,5.857933154,5.605802066,9.21880445,9.216123617,0.693147181,4.219507705,4.454347296,5.298317367,5.521460918,3.850147602,4.454347296
10.1266311,5.645446898,5.631211782,9.21662061,9.213834261,0,2.944438979,3.36729583,5.347107531,5.560681631,3.091042453,3.583518938
8.779557456,5.634789603,5.624017506,9.223355309,9.220587688,4.369447852,1.945910149,2.397895273,5.438079309,5.560681631,2.079441542,2.708050201
6.684611728,5.442417711,5.537334267,9.221082469,9.218308542,4.65396035,3.555348061,3.850147602,3.912023005,4.248495242,3.555348061,4.007333185
6.214608098,5.247024072,5.384495063,9.225721474,9.222861653,3.891820298,4.094344562,4.317488114,4.094344562,4.382026635,4.189654742,4.465908119
5.991464547,4.779123493,4.9698133,9.238150073,9.235130541,2.397895273,3.044522438,3.555348061,2.302585093,2.302585093,3.135494216,4.060443011
10.1266311,5.198497031,4.852030264,9.23610558,9.233177606,0,4.394449155,4.663439094,4.700480366,4.941642423,4.356708827,4.718498871
8.881836305,4.919980926,4.86753445,9.229946902,9.227000813,2.079441542,3.433987204,3.80666249,4.605170186,4.86753445,3.555348061,4.248495242
8.242756346,4.532599493,3.80666249,9.232982102,9.229946902,0,3.465735903,3.931825633,5.768320996,5.886104031,3.555348061,4.077537444
8.268731832,4.290459441,2.772588722,9.234837844,9.231710398,3.091042453,4.33073334,4.779123493,5.703782475,5.828945618,4.304065093,4.820281566
7.972466016,4.510859507,4.204692619,9.230633075,9.227590725,0,4.290459441,4.912654886,5.736572297,5.857933154,4.369447852,4.955827058
